"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"layout_day_z_book_previous","Prev","Prev","Předchozí","Vorherige","Назад","Prev","Prev","Prec","Anterior","Préc.","Prev","Prev",
"dayz_game_loading","Loading...","Loading...","Načítání...","Laden …","Загрузка...","Loading...","Loading...","Caricamento...","Cargando...","Chargement...","Loading...","Loading...",
"dayz_game_no_message","No message received for","No message received for","Žádná zpráva nepřijata po dobu","Keine Nachricht erhalten seit","Не было получено сообщений в течение","No message received for","No message received for","Nessun messaggio ricevuto per","Ningún mensaje desde hace","Aucun message reçu pendant","No message received for","No message received for",
"dayz_game_spawning_in","Spawning in","Spawning in","Oživení za","Spawnen in","Возрождение через","Spawning in","Spawning in","Generazione tra","Apareciendo en","Réapparition dans","Spawning in","Spawning in",
"dayz_implement_dead","You are dead","You are dead","Jsi mrtvý","Du bist tot","Вы погибли","You are dead","You are dead","Sei morto","Has muerto","Vous êtes mort","You are dead","You are dead",
"layout_day_z_dialog_exit","Exit now","Exit now","Okamžitý konec","Jetzt verlassen","Выйти сейчас","Exit now","Exit now","Esci ora","Salir","Quitter","Exit now","Exit now",
"layout_logout_dialog_note","The character stays on the server during the countdown.","The character stays on the server during the countdown.","Postava zůstává během odpočtu na serveru.","Der Charakter bleibt während des Countdowns auf dem Server.","Персонаж остается на сервере во время обратного отсчета.","The character stays on the server during the countdown.","The character stays on the server during the countdown.","Il personaggio resterà sul server durante il conto alla rovescia.","El personaje se queda en el servidor durante la cuenta atrás.","Le personnage reste sur le serveur durant le compte à rebours.","The character stays on the server during the countdown.","The character stays on the server during the countdown.",
"layout_logout_dialog_note_killed","The character stays on the server during the countdown and will be killed afterwards.","The character stays on the server during the countdown and will be killed afterwards.","Postava zůstává během odpočtu na serveru a následně bude zabita.","Der Charakter bleibt während des Countdowns auf dem Server und wird danach getötet.","Персонаж остается на сервере во время обратного отсчета и впоследствии будет убит.","The character stays on the server during the countdown and will be killed afterwards.","The character stays on the server during the countdown and will be killed afterwards.","Il personaggio resterà sul server durante il conto alla rovescia e verrà ucciso successivamente.","El personaje se queda en el servidor durante la cuenta atrás y muere justo después.","Le personnage reste sur le serveur durant le compte à rebours ; il est ensuite tué.","The character stays on the server during the countdown and will be killed afterwards.","The character stays on the server during the countdown and will be killed afterwards.",
"main_menu_tutorial_desc","Would you like to see the basic tutorial?","Would you like to see the basic tutorial?","Chceš se podívat na základní výuku?","Möchtest du dir das Basis-Tutorial ansehen?","Хотите открыть базовое обучение?","Would you like to see the basic tutorial?","Would you like to see the basic tutorial?","Vuoi vedere il tutorial base?","¿Te gustaría ver el tutorial básico?","Souhaitez-vous afficher le didacticiel ?","Would you like to see the basic tutorial?","Would you like to see the basic tutorial?",
"main_menu_tutorial","TUTORIALS","TUTORIALS","VÝUKA","TUTORIALS","ОБУЧЕНИЕ","TUTORIALS","TUTORIALS","TUTORIAL","TUTORIALES","DIDACTICIEL","TUTORIALS","TUTORIALS",
"main_menu_port","Server port: ","Server port: ","Port serveru: ","Server-Port:","Порт сервера: ","Server port: ","Server port: ","Porta server: ","Port del servidor:","Port serveur : ","Server port: ","Server port: ",
"main_menu_play","PLAY","PLAY","HRÁT","SPIELEN","ИГРАТЬ","PLAY","PLAY","GIOCA","JUGAR","JOUER","PLAY","PLAY",
"main_menu_options","Configure","Configure","Nastavení","Konfigurieren","Настройки","Configure","Configure","Configura","Configurar","Configurer","Configure","Configure",
"main_menu_news_desc","Click to read more about Stress Tests.","Click to read more about Stress Tests.","Kliknutím si přečti podrobnosti o zátěžových testech.","Hier klicken, um mehr über Stress Tests herauszufinden.","Нажмите, чтобы узнать больше о нагрузочных тестах.","Click to read more about Stress Tests.","Click to read more about Stress Tests.","Clicca per saperne di più sui test di stress.","Haz clic para más información sobre las pruebas de estabilidad.","Cliquez pour en savoir plus sur les tests de résistance.","Click to read more about Stress Tests.","Click to read more about Stress Tests.",
"main_menu_news","Welcome to Stress Test Branch!","Welcome to Stress Test Branch!","Vítej ve větvi zátěžových testů!","Willkommen im Stress Test-Branch!","Добро пожаловать в раздел нагрузочного тестирования!","Welcome to Stress Test Branch!","Welcome to Stress Test Branch!","Benvenuto nella Sezione dei test di stress!","¡Te damos la bienvenida a la prueba de estabilidad!","Bienvenue dans la branche test de résistance !","Welcome to Stress Test Branch!","Welcome to Stress Test Branch!",
"main_menu_restart","RESTART","RESTART","RESTART","NEUSTARTEN","ЗАНОВО","RESTART","RESTART","RIAVVIA","REINICIAR","RECOMMENCER","RESTART","RESTART",
"main_menu_exit_desc","Are you sure you want to exit?","Are you sure you want to exit?","Opravdu chceš skončit?","Möchtest du das Spiel wirklich verlassen?","Вы действительно хотите выйти?","Are you sure you want to exit?","Are you sure you want to exit?","Sei sicuro di voler uscire?","¿Seguro que quieres salir?","Voulez-vous vraiment quitter ?","Are you sure you want to exit?","Are you sure you want to exit?",
"main_menu_version","Version:","Version:","Verze:","Version:","Версия:","Version:","Version:","Versione:","Versión:","Version :","Version:","Version:",
"main_menu_respawn","RESPAWN","RESPAWN","OŽIVENÍ","RESPAWNEN","ВОЗРОЖДЕНИЕ","RESPAWN","RESPAWN","RIGENERATI","REAPARECER","RÉAPPARAÎTRE","RESPAWN","RESPAWN",
"menu_back","Back","Back","Zpět","Zurück","Назад","Back","Back","Indietro","Volver","Retour","Back","Back",
"main_menu_respawn_question","Are you sure you want to respawn? This will kill your current character.","Are you sure you want to respawn? This will kill your current character.","Opravdu chceš oživit? Tvá stávající postava tak přijde o život.","Möchtest du wirklich respawnen? Dabei wird dein aktueller Charakter getötet.","Вы действительно хотите возродиться? Ваш текущий персонаж погибнет.","Are you sure you want to respawn? This will kill your current character.","Are you sure you want to respawn? This will kill your current character.","Sei sicuro di volerti rigenerare? In questo modo ucciderai il tuo personaggio attuale.","¿Seguro que quieres reaparecer? Si lo haces, tu personaje actual morirá.","Voulez-vous vraiment réapparaître ? Votre personnage actuel mourra.","Are you sure you want to respawn? This will kill your current character.","Are you sure you want to respawn? This will kill your current character.",
"menu_default","Default","Default","Výchozí","Standard","По умолчанию","Default","Default","Predefinito","Predeterminado","Par défaut","Default","Default",
"menu_reset","Reset","Reset","Resetovat","Zurücksetzen","Сбросить","Reset","Reset","Ripristina","Reiniciar","Réinitialiser","Reset","Reset",
"menu_apply","Apply","Apply","Použít","Anwenden","Применить","Apply","Apply","Applica","Aplicar","Appliquer","Apply","Apply",
"menu_random","Random","Random","Náhodné","Zufällig","Случайные","Random","Random","Casuale","Cualquiera","Aléatoire","Random","Random",
"menu_random_capital","RANDOM","RANDOM","NÁHODNÉ","ZUFÄLLIG","СЛУЧАЙНЫЕ","RANDOM","RANDOM","CASUALE","CUALQUIERA","ALÉATOIRE","RANDOM","RANDOM",
"main_menu_IP","Server IP: ","Server IP: ","IP serveru: ","Server-IP:","IP-адрес сервера: ","Server IP: ","Server IP: ","IP server: ","IP del servidor:","IP serveur : ","Server IP: ","Server IP: ",
"main_menu_controls","CONTROLS","CONTROLS","OVLÁDÁNÍ","STEUERUNG","УПРАВЛЕНИЕ","CONTROLS","CONTROLS","COMANDI","CONTROLES","COMMANDES","CONTROLS","CONTROLS",
"menu_enable","Enable","Enable","Povolit","Aktivieren","Включить","Enable","Enable","Abilita","Activar","Activer","Enable","Enable",
"menu_warning","Warning","Warning","Varování","Warnung","Предупреждение","Warning","Warning","Avviso","Aviso","Attention","Warning","Warning",
"layout_main_menu_main_news_header","NEWS FEED","NEWS FEED","NOVINKY","NEWSFEED","НОВОСТНАЯ ЛЕНТА","NEWS FEED","NEWS FEED","NEWSFEED","NOTICIAS","FIL D'ACTUALITÉ","NEWS FEED","NEWS FEED",
"menu_enabled","Enabled","Enabled","Zapnuto","Aktiviert","Включено","Enabled","Enabled","Abilitato","Activado","Activé","Enabled","Enabled",
"menu_yes","Yes","Yes","Ano","Ja","Да","Yes","Yes","Sì","Sí","Oui","Yes","Yes",
"menu_disable","Disable","Disable","Zakázat","Deaktivieren","Выключить","Disable","Disable","Disabilita","Desactivar","Désactiver","Disable","Disable",
"menu_remove","Remove","Remove","Odstranit","Entfernen","Убрать","Remove","Remove","Elimina","Quitar","Supprimer","Remove","Remove",
"main_menu_configure_desc","You have unsaved changes in the configuration. Do you want to discard them?","You have unsaved changes in the configuration. Do you want to discard them?","V nastavení zůstaly neuložené změny. Chceš je zrušit?","Es gibt nicht gespeicherte Veränderungen in deiner Konfiguration. Möchtest du diese verwerfen?","У вас есть несохраненные изменения. Хотите сбросить их?","You have unsaved changes in the configuration. Do you want to discard them?","You have unsaved changes in the configuration. Do you want to discard them?","Hai delle modifiche non salvate nella configurazione. Vuoi ignorarle?","Tienes cambios sin guardar en esta configuración. ¿Deseas descartarlos?","Certains paramètres de votre configuration ne sont pas sauvegardés. Voulez-vous les effacer ?","You have unsaved changes in the configuration. Do you want to discard them?","You have unsaved changes in the configuration. Do you want to discard them?",
